time,open,high,low,close
2026-01-01T00:00:00Z,1.1000,1.1010,1.0990,1.1000
2026-01-01T01:00:00Z,1.1000,1.1020,1.0995,1.1010
2026-01-01T02:00:00Z,1.1010,1.1030,1.1005,1.1020
2026-01-01T03:00:00Z,1.1020,1.1040,1.1010,1.1030
2026-01-01T04:00:00Z,1.1030,1.1050,1.1020,1.1040
2026-01-01T05:00:00Z,1.1040,1.1060,1.1030,1.1050
2026-01-01T06:00:00Z,1.1050,1.1070,1.1040,1.1060
2026-01-01T07:00:00Z,1.1060,1.1080,1.1050,1.1070
2026-01-01T08:00:00Z,1.1070,1.1090,1.1060,1.1080
2026-01-01T09:00:00Z,1.1080,1.1100,1.1070,1.1090
2026-01-01T10:00:00Z,1.1090,1.1110,1.1080,1.1100
2026-01-01T11:00:00Z,1.1100,1.1120,1.1090,1.1110
2026-01-01T12:00:00Z,1.1110,1.1130,1.1100,1.1120
2026-01-01T13:00:00Z,1.1120,1.1140,1.1110,1.1130
2026-01-01T14:00:00Z,1.1130,1.1150,1.1120,1.1140
2026-01-01T15:00:00Z,1.1140,1.1160,1.1130,1.1150
2026-01-01T16:00:00Z,1.1150,1.1170,1.1140,1.1160
2026-01-01T17:00:00Z,1.1160,1.1180,1.1150,1.1170
2026-01-01T18:00:00Z,1.1170,1.1190,1.1160,1.1180
2026-01-01T19:00:00Z,1.1180,1.1200,1.1170,1.1190
2026-01-01T20:00:00Z,1.1190,1.1200,1.1140,1.1150
2026-01-01T21:00:00Z,1.1150,1.1160,1.1100,1.1110
2026-01-01T22:00:00Z,1.1110,1.1120,1.1060,1.1070
2026-01-01T23:00:00Z,1.1070,1.1080,1.1020,1.1030
2026-01-02T00:00:00Z,1.1030,1.1040,1.0980,1.0990
